respondent_id;session_id;prototype_id;age;sex;flip_x_count;flip_y_count;velocity_max;velocity_min;velocity_q95;velocity_q5;velocity_mean_weighted;velocity_mean;velocity_median;velocity_std;velocity_x_max;velocity_x_min;velocity_x_q95;velocity_x_q5;velocity_x_mean_weighted;velocity_x_mean;velocity_x_median;velocity_x_std;velocity_y_max;velocity_y_min;velocity_y_q95;velocity_y_q5;velocity_y_mean_weighted;velocity_y_mean;velocity_y_median;velocity_y_std;distance_max;distance_min;distance_q95;distance_q5;distance_mean;distance_median;distance_std;pace_max;pace_min;pace_q95;pace_q5;pace_mean_weighted;pace_mean;pace_median;pace_std;acceleration_max;acceleration_min;acceleration_q95;acceleration_q5;acceleration_mean_weighted;acceleration_mean;acceleration_median;acceleration_std;acceleration_x_max;acceleration_x_min;acceleration_x_q95;acceleration_x_q5;acceleration_x_mean_weighted;acceleration_x_mean;acceleration_x_median;acceleration_x_std;acceleration_y_max;acceleration_y_min;acceleration_y_q95;acceleration_y_q5;acceleration_y_mean_weighted;acceleration_y_mean;acceleration_y_median;acceleration_y_std;acceleration_positive_max;acceleration_positive_min;acceleration_positive_q95;acceleration_positive_q5;acceleration_positive_mean_weighted;acceleration_positive_mean;acceleration_positive_median;acceleration_positive_std;acceleration_negative_max;acceleration_negative_min;acceleration_negative_q95;acceleration_negative_q5;acceleration_negative_mean_weighted;acceleration_negative_mean;acceleration_negative_median;acceleration_negative_std;angle_max;angle_min;angle_q95;angle_q5;angle_mean;angle_median;angle_std;velocity_angular_max;velocity_angular_min;velocity_angular_q95;velocity_angular_q5;velocity_angular_mean_weighted;velocity_angular_mean;velocity_angular_std;velocity_angular_median;curvature_max;curvature_min;curvature_q95;curvature_q5;curvature_mean;curvature_std;curvature_median;deviation_max;deviation_q95;deviation_q5;deviation_mean;deviation_median;deviation_std;velocity_smooth_max;velocity_smooth_min;velocity_smooth_q95;velocity_smooth_q5;velocity_smooth_mean_weighted;velocity_smooth_mean;velocity_smooth_median;velocity_smooth_std;distance_sum;duration_sum;distance_ratio;corner_count;dpi;sens
18;88;1A;23;woman;32.0;66.0;10.202448990214254;0.0;4.650954989452167;0.013109986233336174;0.47284685970728274;1.1123086480754367;0.5581877111244242;1.5836102934537706;10.058823529411764;0.0;3.888235294117642;0.0;0.3551967270194986;0.8347833831956961;0.3125;1.4278963885610445;8.764705882352942;0.0;2.0;0.0;0.21774895543175488;0.5138969082354566;0.2111111111111111;0.8635274899827969;173.44163283364233;0.0;75.9691774498985;1.0;18.413778726499192;8.602325267042627;26.149638746682598;813.9702697273408;0.0;34.399999999999636;0.1550471868883869;171.0091578787104;10.456526223797484;1.6203989677486639;47.46452908188275;1.3730895650540083;-0.4106888294331738;0.10672064185735841;-0.09004918504399702;0.0;0.00444361399001397;-0.00021988976660420684;0.08592244611431678;0.46558558558558555;-0.39691358024691353;0.07620580252347402;-0.07162224264705881;-3.86567905510152e-20;0.0023517972144050992;0.0;0.05646999768544728;1.3320543565147882;-0.26171875;0.04548888948961935;-0.03982077205882353;6.040123523596125e-21;0.002888188274084222;0.0;0.06531132304692233;1.3730895650540083;1.8367901724378615e-06;0.1596244770043421;0.0014884020453977838;0.019112630603935785;0.04552395074423678;0.017711770593588416;0.10237645843943;-1.042513709055274e-05;-0.4106888294331738;-0.0004087367863391377;-0.12190123764353053;-0.011948399258057974;-0.031566763558288004;-0.014084814822798667;0.04883496232606143;3.141592653589793;-3.064820762320015;3.141592653589793;-2.7388403087659556;0.007251826039514676;0.0;1.6469771643024962;0.42290670336785674;-1.5707963267948966;0.035787904649194166;-0.03460013232216106;2.41604940943845e-21;-0.0023837118920922453;0.09138417945243339;0.0;6.130535978784321;-4.71238898038469;0.36224661680292636;-0.30915749445626795;0.048243611321081875;0.8390638056592261;0.0;639.2457654522622;605.301454939067;20.709516842211404;264.4525414978992;225.5204191630094;177.3870525902919;9.662995333562847;0.0;4.366565756165221;0.02609254997444946;0.48947541103031206;1.1346339088452002;0.6626271734603808;1.450428819109678;10864.129448634523;22974.0;0.35973983504606577;20.0;2400.0;10.0
18;89;2B;23;woman;44.0;60.0;14.46366242914282;0.0;3.6056544779611155;0.01377217043168125;0.5238312219499961;1.1364520483215608;0.5777830525785235;1.5696470281970625;9.3125;0.0;3.2941176470588234;0.0;0.4326006528835691;0.9366878769672023;0.3819444444444444;1.3510963959818285;13.444444444444445;0.0;1.6519607843137254;0.0;0.2007399347116431;0.43527870209738195;0.1875;0.9291693419955502;260.34592372457075;0.0;61.98071653443925;1.0;18.922991075945223;9.0;26.184216558548336;873.0;0.0;33.0625;0.17889944157563764;162.5657396926731;10.674349450703259;1.5996127381260576;54.31388155913751;0.48589005810015723;-0.3560924519136691;0.09698435403507748;-0.07924303001736548;8.094117807386886e-20;0.003310517809448438;-0.00030781522550775073;0.06624796357614766;0.4851190476190476;-0.35378086419753085;0.07428179332735271;-0.06959612889273356;0.0;0.00205007562895866;0.0;0.05724133119856249;0.37024221453287204;-0.3300460223537147;0.040326557093425607;-0.03806228373702422;4.8323091387384396e-21;0.0018738056022745548;0.0;0.03576930606914173;0.48589005810015723;2.3134386533066628e-05;0.1516497300926714;0.0009935251253540421;0.03376934094830601;0.042397587638384686;0.018999214899183076;0.06765311188793428;-1.2232241081846715e-05;-0.3560924519136691;-0.00024489519987031715;-0.09694728938834528;-0.010733927493464192;-0.02918297337714944;-0.012137736090187682;0.045694488714710345;3.141592653589793;-3.1172072444170746;3.141592653589793;-2.782821983319221;0.3955993939367299;0.21364999399089274;1.845509695260177;0.47123889803846897;-0.6872233929727672;0.04619989196455578;-0.04619989196455578;-7.731694621981503e-20;-0.002309167912585987;0.0779372296974817;0.0;5.902678930067221;-4.71238898038469;0.3408380374718414;-0.3817733253543051;0.027436280113142822;0.6453185297262742;0.0;666.6321624015178;555.2580575209721;11.201738103186589;223.33009734940583;195.8269452729474;168.49070913865327;9.861195536141565;0.0;3.8505036618189283;0.023496869604641327;0.5366573941465381;1.1547423874576004;0.7067265800360213;1.3910158739066942;12035.022324301162;22835.0;0.30966731349130716;25.0;2400.0;18.0
18;90;1C;23;woman;34.0;54.0;12.992786460186283;0.0;5.468670282996888;0.01481214616572311;0.735593957786398;1.1471644435881356;0.4375;1.8624309039148021;12.75;0.0;4.852941176470578;0.0;0.630019120458891;0.9731309157518288;0.29411764705882354;1.7699175315270053;4.9375;0.0;1.8374999999999986;0.0;0.25778475826276975;0.42380793007567136;0.1875;0.725108369869081;546.0009157501478;0.0;90.17336473584487;1.0;19.985228047910965;7.280109889280518;38.43474085020217;1377.0;0.0;17.0;0.1453475086431941;224.39695668416982;12.013053092188477;1.9845557534273355;76.77060894084451;0.4542909276153116;-0.6287793036550418;0.06839747587463788;-0.0575018569950805;6.065135343486241e-20;0.00040779666148109265;0.0;0.06229963303910546;0.3911111111111111;-0.6102941176470589;0.06281493295847748;-0.05266897347174164;1.8953547948394504e-21;9.156205232272428e-05;0.0;0.059644983743344294;0.23111111111111113;-0.1796875;0.028611591695501638;-0.02552849264705883;-6.065135343486241e-20;0.0006007217462628548;0.0;0.02506552779667751;0.4542909276153116;5.273902777711854e-07;0.11238251918087884;0.0008182039494329485;0.018708663760658956;0.029234333843557104;0.011151135029796885;0.05096278719971551;-6.006655755952564e-05;-0.6287793036550418;-0.0004145027159691033;-0.11707271081103118;-0.016418215216852012;-0.02763868445467286;-0.010380622837370242;0.0612316983958346;3.141592653589793;-3.13976115380615;3.141592653589793;-2.7391394082219813;0.1478818488295989;0.0;1.6786274547484261;0.399448567513448;-0.3897941984892864;0.05069128620754174;-0.04913494578025415;9.855844933165143e-20;-0.00018970855377407585;0.08342312504616789;0.0;5.695182703632019;-4.71238898038469;0.7853981633974483;-0.3625041989997413;0.050769450591899974;0.8283179308013018;0.0;664.9069337163811;550.5442878848384;12.30149837560791;244.52899242195116;202.42111469099214;170.26403723987866;22.7174414476733;0.0;5.546166201890745;0.025508475589460906;0.7443313800107986;1.231746670252326;0.5184519868791146;2.0048786183211917;10772.037917824011;14575.0;0.32744441415727615;22.0;4800.0;10.0
19;91;1C;23;woman;22.0;42.0;16.305899329419905;0.0;3.919383482847118;0.0035730073214532403;0.4357698672784226;0.9787050794457555;0.3735163329510811;1.656961946893727;15.647058823529411;0.0;3.0;0.0;0.32440885182201584;0.7028375465428601;0.23529411764705882;1.453245874139369;5.764705882352941;0.0;2.6470588235294117;0.0;0.211154812112022;0.5179056126787187;0.15476190476190477;0.9108403919315923;435.04137734243164;0.0;72.17422740105762;1.0;17.549716620565967;6.041381265149109;36.40372467406292;3032.0;0.0;32.69999999999993;0.1636502293309674;637.9892768265248;22.978373945324492;2.2857142857142856;154.50176039448706;0.3809399051585976;-0.3603187434200476;0.060063591091756754;-0.04334928322999088;2.840925144754701e-19;0.0020854304323679293;-0.00018565371190292133;0.04868701108487807;0.34878892733564015;-0.3357077205882353;0.04460248161764697;-0.033823529411764704;-2.1043889961145933e-20;0.001596553570666678;0.0;0.04005715457731279;0.29730941704035874;-0.25;0.03665792603806216;-0.029119133866782006;-5.524021114800807e-20;0.0012223375564275663;0.0;0.03347693251098806;0.3809399051585976;1.1926551525087898e-06;0.10113542157991355;0.0008032606517783463;0.013462834125849844;0.027854967921659674;0.010908364712490726;0.047228345024671436;-1.9292122067392687e-05;-0.3603187434200476;-0.00023171676758938973;-0.06867510460879922;-0.008022098632307986;-0.020243645325028238;-0.008001730103806228;0.04017343562499631;3.141592653589793;-3.092451919173773;3.0692406374441044;-2.761086276477428;0.2741245148001276;0.0;1.6767863160894185;1.5707963267948966;-0.41333627168607634;0.028977975562550384;-0.0313400136455213;-2.1043889961145933e-20;0.0026918229480498578;0.0814772558501712;0.0;4.59751237496779;-3.141592653589793;0.2774287831848234;-0.22448762617466858;0.00665300192759003;0.49076405350258995;0.0;793.078092963399;677.105616122489;11.677870261573977;251.2716483568956;219.7275323247828;223.12254208605984;15.928833633069553;0.0;4.0731300245651765;0.010873503285936944;0.4357273660287251;1.060090189650954;0.43322778340391677;1.826200625593659;9196.051509176566;21094.0;0.39239010148373066;9.0;4800.0;10.0
19;92;2A;23;woman;26.0;92.0;16.90610323317033;0.0;3.710755386736874;0.0;0.4627934127731715;1.036401018823235;0.447213595499958;1.800226106692413;12.714285714285714;0.0;2.9733333333333274;0.0;0.3550052273915316;0.7429542394764647;0.29411764705882354;1.329709663530244;11.142857142857142;0.0;2.1588235294117606;0.0;0.20386826973340302;0.5434214145988986;0.13333333333333333;1.3038988111322647;615.3251173160413;0.0;66.05490111497429;0.0;19.511268289478277;8.0;48.780959251059244;709.0;0.0;50.96923076923075;0.0;70.20159927125032;11.409997528727658;1.7354436625492493;46.50364729886166;3.000609488071568;-0.37499960168771673;0.09655413679259109;-0.0948352707202493;-2.339564332472641e-19;0.015174753847395655;-0.00010152544552210762;0.19336201448550522;1.0600240096038414;-0.4296875;0.08327573529411757;-0.08197808535178777;-5.53152807290043e-20;0.0058632780302633495;0.0;0.08611073329900933;2.990210843373494;-0.3204152249134949;0.06227022058823524;-0.05457261029411765;0.0;0.012652082907463308;0.0;0.17591067983717498;3.000609488071568;1.989333195406232e-06;0.2503075775193079;0.00016484623168925257;0.01902747561273298;0.07394997101249848;0.018468333803992536;0.2665643511472861;-6.928697404887881e-05;-0.37499960168771673;-0.0003340012164976049;-0.13308091352247214;-0.0189756890439546;-0.03738365853815641;-0.014922145328719723;0.05994349054448839;3.141592653589793;-3.1152829363368713;3.141592653589793;-2.819842099193151;-0.16333679386731023;0.0;1.881663137265647;0.5031838870043935;-1.163907539635756;0.2942516583093304;-0.2847115487957904;8.705355655712153e-20;-0.00586422293552052;0.14234234067874926;0.0;5.902678930067221;-4.71238898038469;1.5707963267948966;-0.6140729219552852;0.06298724643539269;0.8969174797662723;0.0;745.2927408582216;617.6809497449667;10.952741104330222;243.24638268502102;241.82229767881978;191.67487201314728;28.210050918722583;0.0;3.9812882907745686;0.021670046939531094;0.4901913738338295;1.254589253868904;0.5891219686841453;2.4375400216566994;7082.590389080615;15003.0;0.5825476861813113;26.0;2400.0;18.0
19;93;1B;23;woman;42.0;50.0;12.35602202477871;0.0;2.736329816674451;0.0;0.23832939078948734;0.8467631630656938;0.347969173377803;1.4604843799861262;11.823529411764707;0.0;2.143014705882351;0.0;0.1677462373785483;0.5958430623654548;0.11764705882352941;1.3301738675100838;4.470588235294118;0.0;2.041176470588231;0.0;0.1369784720899219;0.48743187255373727;0.23529411764705882;0.6988515953458159;210.05237442123808;0.0;46.517606883465675;0.0;14.135491211909832;5.91547594742265;24.262639439761085;2309.0;0.0;56.69999999999993;0.0;345.8504452367065;17.853693230048414;2.1766269588592317;126.65993526871388;0.44270724558808167;-0.2894304205731088;0.08172848264204306;-0.0638070213270747;1.9829188142238223e-20;0.003178217343868548;-0.0005298444674053393;0.059795888902113965;0.4288350634371396;-0.23529411764705882;0.051584973623580145;-0.043539819420415224;-5.2877835045968595e-21;0.0015743603433582142;0.0;0.04762325097151021;0.24298041364196685;-0.25206801470588236;0.0832088143481616;-0.04920726102941175;-1.1897512885342933e-20;0.0023545316028314666;0.0;0.043398735892950555;0.44270724558808167;1.8756514371897789e-07;0.1667592138891002;0.00026248453658400987;0.010222214629558805;0.03938351370113856;0.015569086769739232;0.06352704927908066;-2.6384780776844593e-05;-0.2894304205731088;-0.00042597102289847937;-0.10996860438197505;-0.007323713732746736;-0.025170726923375353;-0.010162220372746458;0.04059025533051529;3.141592653589793;-2.843093722003614;2.360739689214405;-2.624811368220795;0.016216380409874064;0.0;1.5935170854761822;1.258534883695333;-0.39269908169872414;0.05411933284026267;-0.04908738521234052;-6.345340205516231e-20;0.0038687106867524705;0.08798206308250632;0.0;5.878293520894503;-4.71238898038469;0.7045674169420492;-0.4670036416534268;0.07067316311709657;0.8436462630257557;0.0;675.6067954748645;612.8400329500398;9.679576809929157;229.64786374153675;161.72880409927862;193.55307621506523;13.598760694821337;0.0;2.6279359712049426;0.013804198161400105;0.2521141571390707;0.9011817264188493;0.3898312073942729;1.5233437670994647;5003.96388901608;20820.0;0.7019896499167306;9.0;2400.0;10.0
19;94;2C;23;woman;32.0;42.0;7.476375710972952;0.0;2.247283259798862;0.0009448237724500549;0.22425869305106413;0.664667838248673;0.3644344934278313;0.9174157344842624;7.352941176470588;0.0;1.8718749999999993;0.0;0.1714154411764706;0.5087200041963196;0.2426470588235294;0.7956185910449494;5.470588235294118;0.0;1.375;0.0;0.10651552287581699;0.3156980078294874;0.1213235294117647;0.5405298636845586;127.09838708654017;0.0;35.83007991543282;1.0;10.925080210726486;6.082762530298219;15.054293610490708;1130.458548294348;0.0;37.03779200517167;0.1358186473742578;359.0646894207414;13.17719930121825;2.3095238095238093;68.18041784908351;0.3237392189162867;-0.2170452384283806;0.06558891728165031;-0.052903535946708956;-2.1613180562619534e-20;0.0024340874121025068;-0.0003558521610846181;0.04993423209524793;0.31814686658977315;-0.18016975308641975;0.05374815275374854;-0.04293428308823529;-2.1613180562619534e-20;0.0018352474602294356;0.0;0.04029684183905459;0.29974048442906576;-0.22081801470588236;0.03282494442626079;-0.034719952795933186;2.267612386897787e-20;0.0010465706938193337;0.0;0.031202658946251956;0.3237392189162867;1.4548304249656661e-06;0.1268706822249321;0.0002502366145604121;0.009470547184282033;0.031193957169241386;0.011883429087346301;0.05309254362093432;-1.2430579837902178e-05;-0.2170452384283806;-0.0004667789640613936;-0.08525341384792287;-0.00763804379980756;-0.021885269073970138;-0.008716038490051752;0.033253577837134035;3.141592653589793;-3.096169374168216;3.141592653589793;-2.677945044588987;0.34197904661883094;0.1814821585274812;1.8172579620064913;2.90976884908939;-0.4078691086509973;0.04012463611855181;-0.06258805797446111;0.0;0.005537180160940111;0.16319226474191031;0.0;5.81953769817878;-4.71238898038469;0.5553603672697958;-0.3917762412253863;0.03774821048816561;0.7143577961001918;0.0;549.9538731930656;518.692566783342;11.137163205272385;160.43510746350015;127.44572489756916;140.47970237874935;5.083279264461525;0.0;2.307370136335419;0.012925903516952724;0.235581910166946;0.6836172697559665;0.3970037921763052;0.7951230727521356;4391.882244712047;19572.0;0.8970223294542465;11.0;2400.0;5.0
19;95;1A;23;woman;20.0;28.0;3.823981873681178;0.0;1.8812572244953447;0.0006882926966450126;0.24161448383291004;0.6149439759093989;0.4550068680800324;0.5968291549635576;3.823529411764706;0.0;1.7261029411764706;0.0;0.19742923165800116;0.5040219292091188;0.29411764705882354;0.5817031697605765;1.5294117647058822;0.0;0.8403361344537814;0.0;0.0981369150779896;0.24679984729614626;0.17647058823529413;0.28500144758064233;65.00769185258002;0.0;30.30522786501397;1.0;10.108390852320664;7.615773105863909;9.636037752717707;1620.0;0.0;17.0;0.27279792271292086;570.7630275479154;19.019233702509712;1.9845557534273355;133.1068249076685;0.9997468995191091;-0.14795918367346936;0.03998921216259389;-0.04109535339153214;1.0021510548681728e-19;0.0028964809826356698;0.0;0.06167253665465022;0.9997468995191091;-0.14795918367346936;0.03553768382352941;-0.03991403546712803;3.206883375578153e-20;0.0027620372646935012;0.0;0.060708355168252015;0.0546875;-0.05622837370242214;0.023782169117647058;-0.019247404844290657;1.803871898762711e-20;0.00028426283236776626;0.0;0.012975672205008556;0.9997468995191091;2.88269340422453e-07;0.06574075393919472;0.000393299683741073;0.005819111042760203;0.025810081680153325;0.014860784018064663;0.08327553448782277;-6.88950412407722e-05;-0.14795918367346936;-0.0009282197036623587;-0.05841685392165052;-0.010816335649101248;-0.01771145377356098;-0.00946407182477699;0.022386849701623274;3.141592653589793;-3.126209251809198;3.141592653589793;-2.653574118934021;0.2602775242492861;0.0;1.883545004912359;0.3864697909180265;-0.3860281021581532;0.026781604661229627;-0.04334453529653206;-8.017208438945382e-21;-0.0019516295433555245;0.06981045146396032;0.0;5.497787143782138;-3.88752257088857;0.14389122228582713;-0.24224746877645847;0.021662996421664294;0.5074890435700374;0.0;347.4564238490756;336.3040892740196;7.616228490282114;157.38897551652772;136.1400842637928;104.07013982356702;5.555060415333318;0.0;1.713077647145819;0.02070133714010174;0.26158300726515793;0.6591004053121554;0.5292326606375987;0.6195788099946964;3345.8773721181396;13833.0;0.9664287908931211;12.0;1000.0;10.0
20;96;2A;24;woman;62.0;122.0;7.812749996000128;0.0;2.031268719324025;0.01904076837798112;0.41393145811621224;0.6090137515780332;0.3125;0.8625560799841797;7.8125;0.0;1.8235294117647058;0.0;0.35229593325164826;0.518782833516983;0.23529411764705882;0.843149587702035;2.5625;0.0;0.7647058823529411;0.0;0.14709142890483692;0.21596794761140076;0.11764705882352941;0.29708774846290653;125.00399993600205;0.0;34.52535300326414;1.0;10.134816086648222;5.0;14.358468622755941;1159.0;0.0;24.0;0.35307824535946314;119.4286437546509;11.98065663593062;3.0;52.18646911910968;0.17195095047935294;-0.20394541288228568;0.030292032214640476;-0.031191153792716;1.5384676372511504e-20;0.0005155394558820301;0.0;0.024484944619827226;0.17185697808535175;-0.20393598615916955;0.02768646674356017;-0.028169796189618096;-8.097198090795528e-22;0.0003727086076881977;0.0;0.023250403012739347;0.059344790547798065;-0.06228373702422144;0.015625;-0.013847772224358157;3.2388792363182114e-21;0.00022577085920184615;0.0;0.00972678863234761;0.17195095047935294;5.750795047415305e-06;0.04613592731022363;0.0005187927723875143;0.01170853572832388;0.014333750582743924;0.008636135436749355;0.019210358072085376;-9.851109775798192e-06;-0.20394541288228568;-0.0003698849696645663;-0.0548537025517336;-0.007976354384912987;-0.013645697574219516;-0.006394095610273305;0.021682803660833257;3.141592653589793;-3.1335928242499067;3.141592653589793;-2.769315784366207;0.5937798172892479;0.3217505543966422;1.7743602856723355;1.5707963267948966;-0.5290488816526163;0.04619989196455578;-0.04619989196455578;6.477758472636423e-20;0.0007219837449253818;0.08368698896936597;0.0;5.497787143782138;-4.71238898038469;0.5536636593156826;-0.38277672637335025;0.019490404361906948;0.5698822145017878;0.0;762.671288624932;543.612102127965;8.212555868984111;183.7695137188093;137.02785430085228;167.4963458488188;6.503799787230717;0.0;2.1164438736770754;0.02701068384213424;0.4181386764186892;0.6184935467801667;0.33911504557587646;0.8299983127850777;14188.742521307511;34199.0;0.27541864469158833;35.0;4800.0;10.0
20;97;1B;24;woman;84.0;84.0;15.127257188089388;0.0;2.713824886574427;0.021090830698476577;0.4970782594370202;0.8969312097495317;0.5034840306937023;1.4320603033288444;12.764705882352942;0.0;2.118431372549019;0.0;0.34300433839479394;0.6061767763104009;0.23529411764705882;1.172958802974259;10.0;0.0;1.5298642533936646;0.0;0.2818939804772234;0.5256042353406909;0.29411764705882354;0.9142797748415915;257.1633721975196;0.0;47.78532863501571;1.0;15.276871840031095;8.48528137423857;24.653331546083166;604.0;0.0;19.006857838488514;0.202585365918892;72.82837652192873;6.9285422330000745;1.7955334711889903;30.778822135980498;1.5455743269089326;-0.486160537760737;0.07055533289420092;-0.05307897679384217;8.278506826787366e-20;0.004202725477106639;-0.0004469434832756633;0.07154015604564376;0.27999999999999997;-0.4865916955017301;0.05367444312283732;-0.042524735077854675;0.0;0.0018708261725572327;0.0;0.04285122511047345;1.52;-0.36938775510204075;0.04855973452621835;-0.03908547794117647;1.279405600503502e-19;0.0034679457631904146;0.0;0.060975685590838234;1.5455743269089326;9.499378028223602e-07;0.12867418184785437;0.0010706523386216447;0.020417237680081454;0.03650966289458868;0.019318926457033647;0.085318729179143;-6.348405771676681e-05;-0.486160537760737;-0.000735354168878436;-0.07439010775060545;-0.01444597918014589;-0.024498337760915492;-0.012758531618643801;0.040418003844561116;3.141592653589793;-3.0940095503128098;3.08904367513649;-2.4678039771653415;0.5353902417785332;0.9272952180016122;1.717302926737403;0.6872233929727672;-0.4313363824487913;0.05353342848242327;-0.04970139240943035;-4.515549178247654e-20;0.0009200892081502595;0.07359683567913067;0.0;5.695182703632019;-4.71238898038469;0.3826625327453722;-0.2665683434717345;0.036209744955875284;0.681558352783763;0.0;813.5303707637505;645.5843814829682;8.319689926531371;263.8171649751315;257.8060553067994;206.9828626016174;13.834430466254542;0.0;2.8140029301653664;0.035157755818129986;0.4937589526381316;0.8906613209727808;0.5218649376087028;1.306181269451952;14665.79696642985;29133.0;0.2672708927537743;28.0;2400.0;18.0
